id,id_fantacalcio,nome,squadra_fc,id_giocatore,aggiornato_il
4469,7621,Sugawara,CAG,,2026-09-22 22:14:31.097902+00:00
4470,6319,Leite,LAZ,,2026-09-22 22:14:31.097902+00:00
4471,4887,Bellanova,ATA,,2026-09-22 22:14:31.097902+00:00
4472,7219,Bernasconi,ATA,,2026-09-22 22:14:31.097902+00:00
4473,7326,Helland,BOL,,2026-09-22 22:14:31.097902+00:00
4474,7212,Heggem,BOL,,2026-09-22 22:14:31.097902+00:00
4475,6054,Moro N.,BOL,,2026-09-22 22:14:31.097902+00:00
4476,6895,Dominguez B.,SAS,,2026-09-22 22:14:31.097902+00:00
4477,7532,Kofler,CAG,,2026-09-22 22:14:31.097902+00:00
4478,1871,Deiola,CAG,,2026-09-22 22:14:31.097902+00:00
4479,6893,Kempf,COM,,2026-09-22 22:14:31.097902+00:00
4480,6678,Liberali,COM,,2026-09-22 22:14:31.097902+00:00
4481,7294,Valdepenas,FIO,,2026-09-22 22:14:31.097902+00:00
4482,7410,Viery,FIO,,2026-09-22 22:14:31.097902+00:00
4483,7464,Oulai,FIO,,2026-09-22 22:14:31.097902+00:00
4484,6506,Fini,FRO,,2026-09-22 22:14:31.097902+00:00
4485,5998,Zerbin,FRO,,2026-09-22 22:14:31.097902+00:00
4486,6660,Marcandalli,GEN,,2026-09-22 22:14:31.097902+00:00
4487,6020,Ellertsson,GEN,,2026-09-22 22:14:31.097902+00:00
4488,4177,Pavard,INT,,2026-09-22 22:14:31.097902+00:00
4489,5301,Luis Henrique,INT,,2026-09-22 22:14:31.097902+00:00
4490,5831,Gatti,JUV,,2026-09-22 22:14:31.097902+00:00
4491,7012,Provstgaard,LAZ,,2026-09-22 22:14:31.097902+00:00
4492,4817,Pedraza,LAZ,,2026-09-22 22:14:31.097902+00:00
4493,2188,Marusic,LAZ,,2026-09-22 22:14:31.097902+00:00
4494,6191,Belahyane,LAZ,,2026-09-22 22:14:31.097902+00:00
4495,4751,Tomori,MIL,,2026-09-22 22:14:31.097902+00:00
4496,2741,Pessina,MON,,2026-09-22 22:14:31.097902+00:00
4497,2724,Buongiorno,NAP,,2026-09-22 22:14:31.097902+00:00
4498,6831,Neres,NAP,,2026-09-22 22:14:31.097902+00:00
4499,7411,Daffara,PAR,,2026-09-22 22:14:31.097902+00:00
4500,6984,Ondrejka,PAR,,2026-09-22 22:14:31.097902+00:00
4501,7342,Elphege,PAR,,2026-09-22 22:14:31.097902+00:00
4502,6631,Ghilardi,ROM,,2026-09-22 22:14:31.097902+00:00
4503,4236,Muric,SAS,,2026-09-22 22:14:31.097902+00:00
4504,6426,Pedersen,TOR,,2026-09-22 22:14:31.097902+00:00
4505,6170,Gineitis,TOR,,2026-09-22 22:14:31.097902+00:00
4506,608,Zapata D.,TOR,,2026-09-22 22:14:31.097902+00:00
4507,6485,Kristensen T.,ATA,,2026-09-22 22:14:31.097902+00:00
4508,5527,Zanoli,UDI,,2026-09-22 22:14:31.097902+00:00
4509,6248,Stankovic F.,VEN,,2026-09-22 22:14:31.097902+00:00
4510,5695,Haps,VEN,,2026-09-22 22:14:31.097902+00:00
4511,5674,Basic,VEN,,2026-09-22 22:14:31.097902+00:00
4512,5319,Sohm,VEN,,2026-09-22 22:14:31.097902+00:00
4513,6994,Perez K.,VEN,,2026-09-22 22:14:31.097902+00:00
4514,7329,Obrador,SAS,,2026-09-22 22:14:31.097902+00:00
4515,7573,Cinquegrano,SAS,,2026-09-22 22:14:31.097902+00:00
4516,7602,Fatah,LEC,,2026-09-22 22:14:31.097902+00:00
4517,5751,Patterson,TOR,,2026-09-22 22:14:31.097902+00:00
4518,2169,Rodriguez R.,TOR,,2026-09-22 22:14:31.097902+00:00
4519,22,De Roon,ROM,,2026-09-22 22:14:31.097902+00:00
4520,5918,Sulemana K.,ATA,,2026-09-22 22:14:31.097902+00:00
4521,7068,Vitik,BOL,,2026-09-22 22:14:31.097902+00:00
4522,7528,Amondarain,BOL,,2026-09-22 22:14:31.097902+00:00
4523,4461,Zappa,CAG,,2026-09-22 22:14:31.097902+00:00
4524,6424,Prati,CAG,,2026-09-22 22:14:31.097902+00:00
4525,6640,Felici,CAG,,2026-09-22 22:14:31.097902+00:00
4526,6243,Borrelli,CAG,,2026-09-22 22:14:31.097902+00:00
4527,6815,Fadera,CAG,,2026-09-22 22:14:31.097902+00:00
4528,7127,Addai,COM,,2026-09-22 22:14:31.097902+00:00
4529,313,Morata,COM,,2026-09-22 22:14:31.097902+00:00
4530,5449,Parisi,FIO,,2026-09-22 22:14:31.097902+00:00
4531,6206,Fabbian,PAR,,2026-09-22 22:14:31.097902+00:00
4532,5757,Cittadini,FRO,,2026-09-22 22:14:31.097902+00:00
4533,7473,Cichella,FRO,,2026-09-22 22:14:31.097902+00:00
4534,7474,Koutsoupias,FRO,,2026-09-22 22:14:31.097902+00:00
4535,2593,Martin,GEN,,2026-09-22 22:14:31.097902+00:00
4536,7341,Amorim,GEN,,2026-09-22 22:14:31.097902+00:00
4537,7409,Meichtry,GEN,,2026-09-22 22:14:31.097902+00:00
4538,2857,Traorè Hj.,GEN,,2026-09-22 22:14:31.097902+00:00
4539,2529,Mkhitaryan,INT,,2026-09-22 22:14:31.097902+00:00
4540,6766,Kelly L.,JUV,,2026-09-22 22:14:31.097902+00:00
4541,4911,Douglas Luiz,JUV,,2026-09-22 22:14:31.097902+00:00
4542,6629,Dele-Bashiru,LAZ,,2026-09-22 22:14:31.097902+00:00
4543,6632,Gaspar K.,LEC,,2026-09-22 22:14:31.097902+00:00
4544,7240,Siebert,LEC,,2026-09-22 22:14:31.097902+00:00
4545,5457,Maleh,LEC,,2026-09-22 22:14:31.097902+00:00
4546,7322,Ngom,LEC,,2026-09-22 22:14:31.097902+00:00
4547,6015,Berisha M.,LEC,,2026-09-22 22:14:31.097902+00:00
4548,7318,Gandelman,LEC,,2026-09-22 22:14:31.097902+00:00
4549,7001,N'Dri,LEC,,2026-09-22 22:14:31.097902+00:00
4550,5273,Estupinan,MIL,,2026-09-22 22:14:31.097902+00:00
