id,Giocatore_Supa,Giocatore_TM,detentore_cartellino,Club_Supa,Club_TM,name_clean,nome_clean
857,Alidou,Faride Alidou,Svincolato,Verona,Verona Hellas Football Club,faride alidou,alidou
694,Gytkjaer,Christian Gytkjaer,Svincolato,Venezia,Venezia FC,christian gytkjaer,gytkjaer
553,De Marzi,Giorgio De Marzi,Svincolato,Roma,Associazione Sportiva Roma,giorgio de marzi,de marzi
276,Kouadio,Eddy Kouadio,Svincolato,Fiorentina,Associazione Calcio Fiorentina,eddy kouadio,kouadio
316,Ndaba,Corrie Ndaba,Svincolato,Lecce,Unione Sportiva Lecce,corrie ndaba,ndaba
298,Gigot,Samuel Gigot,Svincolato,Lazio,Società Sportiva Lazio S.p.A.,samuel gigot,gigot
320,Ceccherini,Federico Ceccherini,Svincolato,Cremonese,Unione Sportiva Cremonese S.p.A.,federico ceccherini,ceccherini
318,Rugani,Daniele Rugani,Svincolato,Fiorentina,Associazione Calcio Fiorentina,daniele rugani,rugani
312,Zemura,Jordan Zemura,Svincolato,Udinese,Udinese Calcio,jordan zemura,zemura
345,Calabresi,Arturo Calabresi,Svincolato,Pisa,Pisa Sporting Club,arturo calabresi,calabresi
329,Marianucci,Luca Marianucci,Metodo Monchi FC,Torino,Torino Calcio,luca marianucci,marianucci
297,Patric,Patric,Baby Reijnders,Lazio,Società Sportiva Lazio S.p.A.,patric,patric
301,Sabelli,Stefano Sabelli,Diaolo Porco,Genoa,Genoa Cricket and Football Club,stefano sabelli,sabelli
292,Mazzocchi,Pasquale Mazzocchi,Svincolato,Napoli,Società Sportiva Calcio Napoli,pasquale mazzocchi,mazzocchi
347,Juan Jesus,Juan Jesus,Diaolo Porco,Napoli,Società Sportiva Calcio Napoli,juan jesus,juan jesus
351,Pezzella Giu.,Giuseppe Pezzella,CyberDucks,Cremonese,Unione Sportiva Cremonese S.p.A.,giuseppe pezzella,pezzella giu.
346,Olivera,Mathías Olivera,Diaolo Porco,Napoli,Società Sportiva Calcio Napoli,mathias olivera,olivera
360,Veiga D.,Danilo Veiga,Svincolato,Lecce,Unione Sportiva Lecce,danilo veiga,veiga d.
374,Pellegrini Lu.,Luca Pellegrini,Svincolato,Lazio,Società Sportiva Lazio S.p.A.,luca pellegrini,pellegrini lu.
375,Gatti,Federico Gatti,ZeroDayz FC,Juventus,Juventus Football Club,federico gatti,gatti
350,Pongracic,Marin Pongracic,Baby Reijnders,Fiorentina,Associazione Calcio Fiorentina,marin pongracic,pongracic
355,Bradaric,Domagoj Bradarić,Svincolato,Verona,Verona Hellas Football Club,domagoj bradaric,bradaric
369,Kamara H.,Hassane Kamara,Sborada,Udinese,Udinese Calcio,hassane kamara,kamara h.
317,Joao Mario,João Mário,AC Ciaccati,Bologna,Bologna Football Club 1909,joao mario,joao mario
368,Frese,Martin Frese,Svincolato,Verona,Verona Hellas Football Club,martin frese,frese
344,Ehizibue,Kingsley Ehizibue,Svincolato,Udinese,Udinese Calcio,kingsley ehizibue,ehizibue
332,Provstgaard,Oliver Provstgaard,Metodo Monchi FC,Lazio,Società Sportiva Lazio S.p.A.,oliver provstgaard,provstgaard
365,Obert,Adam Obert,FC Pontos,Cagliari,Cagliari Calcio,adam obert,obert
876,Obrador,Rafa Obrador,Svincolato,Torino,Torino Calcio,rafa obrador,obrador
326,Gutierrez,Miguel Gutiérrez,Diablitos FC,Napoli,Società Sportiva Calcio Napoli,miguel gutierrez,gutierrez
341,Athekame,Zachary Athekame,CyberDucks,Milan,Associazione Calcio Milan,zachary athekame,athekame
707,Cassandro,Tommaso Cassandro,Svincolato,Como,Calcio Como,tommaso cassandro,cassandro
233,Samardzic,Lazar Samardžić,ZeroDayz FC,Atalanta,Atalanta Bergamasca Calcio S.p.a.,lazar samardzic,samardzic
185,Lobotka,Stanislav Lobotka,Sborada,Napoli,Società Sportiva Calcio Napoli,stanislav lobotka,lobotka
227,Ricci S.,Samuele Ricci,FC Pontos,Milan,Associazione Calcio Milan,samuele ricci,ricci s.
221,Thorstvedt,Kristian Thorstvedt,AC Ciaccati,Sassuolo,Unione Sportiva Sassuolo Calcio,kristian thorstvedt,thorstvedt
225,Malinovskyi,Ruslan Malinovskyi,Diablitos FC,Genoa,Genoa Cricket and Football Club,ruslan malinovskyi,malinovskyi
255,Mandragora,Rolando Mandragora,FC Pontos,Fiorentina,Associazione Calcio Fiorentina,rolando mandragora,mandragora
215,McKennie,Weston McKennie,Diablitos FC,Juventus,Juventus Football Club,weston mckennie,mckennie
262,Zaniolo,Nicolò Zaniolo,Metodo Monchi FC,Udinese,Udinese Calcio,nicolo zaniolo,zaniolo
264,De Bruyne,Kevin De Bruyne,Baby Reijnders,Napoli,Società Sportiva Calcio Napoli,kevin de bruyne,de bruyne
278,Denoon,Daniel Denoon,Svincolato,Pisa,Pisa Sporting Club,daniel denoon,denoon
285,Pieragnolo,Edoardo Pieragnolo,Svincolato,Sassuolo,Unione Sportiva Sassuolo Calcio,edoardo pieragnolo,pieragnolo
287,Romagna,Filippo Romagna,Svincolato,Sassuolo,Unione Sportiva Sassuolo Calcio,filippo romagna,romagna
291,Coppola F.,Francesco Coppola,Svincolato,Pisa,Pisa Sporting Club,francesco coppola,coppola f.
294,Perez M.,Matías Pérez,Svincolato,Lecce,Unione Sportiva Lecce,matias perez,perez m.
296,Hysaj,Elseid Hysaj,Svincolato,Lazio,Società Sportiva Lazio S.p.A.,elseid hysaj,hysaj
302,Goldaniga,Edoardo Goldaniga,Svincolato,Como,Calcio Como,edoardo goldaniga,goldaniga
308,Cham,Fallou Cham,Svincolato,Verona,Verona Hellas Football Club,fallou cham,cham
277,Ndiaye,Abdoulaye Ndiaye,Svincolato,Parma,Parma Calcio 1913,abdoulaye ndiaye,ndiaye
295,Jean,Gaby Jean,Svincolato,Lecce,Unione Sportiva Lecce,gaby jean,jean
361,Gaspar K.,Gaspar,Metodo Monchi FC,Lecce,Unione Sportiva Lecce,gaspar,gaspar k.
333,Otoa,Sebastian Otoa,Svincolato,Genoa,Genoa Cricket and Football Club,sebastian otoa,otoa
331,Lazzari,Manuel Lazzari,FC Pontos,Lazio,Società Sportiva Lazio S.p.A.,manuel lazzari,lazzari
300,Darmian,Matteo Darmian,Svincolato,Inter,Football Club Internazionale Milano S.p.A.,matteo darmian,darmian
