id,nome,squadra_att,detentore_cartellino,club,quot_att_mantra,tipo_contratto,ruolo,costo,priorita
834,Musso,Svincolato,Svincolato,Atalanta,4,Svincolato,{Por},0,0
835,Mulattieri,Svincolato,Svincolato,Sassuolo,4,Svincolato,{Pc},0,0
836,Rocha Livramento,Svincolato,Svincolato,Verona,2,Svincolato,{Pc},0,0
837,Strefezza,Svincolato,Svincolato,Como,13,Svincolato,{W},0,0
838,Pizarro,ZeroDayz FC,ZeroDayz FC,Udinese,1,Primavera,{Pc},0,0
839,Crnigoj,Svincolato,Svincolato,Venezia,1,Svincolato,{C},0,0
840,Lekovic,Svincolato,Svincolato,Monza,2,Svincolato,{Dc},0,0
841,Izzo,Svincolato,Svincolato,Monza,4,Svincolato,{Dc},0,0
842,Marin,Svincolato,Svincolato,Cagliari,13,Svincolato,"{M,C}",0,0
843,Raspadori,Svincolato,Svincolato,Napoli,13,Svincolato,{A},0,0
844,Barak,Svincolato,Svincolato,Fiorentina,5,Svincolato,{T},0,0
845,Pavard,Svincolato,CyberDucks,Inter,9,Prestito Reale,"{Dd,Dc}",36,0
846,Iovine,Svincolato,Svincolato,Como,1,Svincolato,"{Dd,E}",0,0
847,Joao Costa,Svincolato,Svincolato,Roma,1,Svincolato,{A},0,0
848,Verdi,Svincolato,Svincolato,Como,2,Svincolato,"{W,T}",0,0
849,Gourna-Douath,Svincolato,Svincolato,Roma,4,Svincolato,"{M,C}",0,0
850,Caputo,Svincolato,Svincolato,Empoli,5,Svincolato,{Pc},0,0
851,Boer,Svincolato,Svincolato,Roma,1,Svincolato,{Por},0,0
852,Scott,Svincolato,Svincolato,Lecce,1,Svincolato,{Dc},0,0
853,Cajuste,Svincolato,Svincolato,Napoli,3,Svincolato,"{M,C}",0,0
854,Coppola D.,Svincolato,Svincolato,Verona,7,Svincolato,{Dc},0,0
855,Busio,Svincolato,Svincolato,Venezia,9,Svincolato,{C},0,0
856,Rafia,Svincolato,Svincolato,Lecce,1,Svincolato,"{C,T}",0,0
857,Martinelli T.,Sborada,Sborada,Fiorentina,1,Indeterminato,{Por},1,0
858,Mazza,Svincolato,Svincolato,Monza,1,Svincolato,{Por},0,0
859,Byar,Svincolato,Svincolato,Bologna,1,Svincolato,"{C,T}",0,0
860,Dahl,Svincolato,Svincolato,Roma,2,Svincolato,"{Ds,E}",0,0
861,Mbappe,Svincolato,Svincolato,Verona,1,Svincolato,{A},0,0
862,Sanchez,Svincolato,Svincolato,Udinese,7,Svincolato,{A},0,0
863,Di Chiara,Svincolato,Svincolato,Parma,1,Svincolato,"{Ds,E}",0,0
864,Dorgu,Svincolato,Svincolato,Lecce,11,Svincolato,"{Ds,E}",0,0
865,Zurkowski,Svincolato,Svincolato,Empoli,2,Svincolato,"{C,T}",0,0
866,Akinsamiro,Svincolato,Svincolato,Pisa,3,Svincolato,"{C,T}",0,0
