id,evento,data,stagione
226,FC Sovescio riceve 3 crediti per la cessione in prestito di El Bilal Toure al Besikta,2025-08-29,25-26
261,FC Sovescio acquista Nkunku a 53 crediti,2025-09-04,25-26
266,FC Sovescio acquista Openda a 53 crediti,2025-09-04,25-26
76,"Cessioni prestito estero (0 crediti): Godfrey (Cyberducks), Le fee (FC Sovescio )",2025-01-17,24-25
63,Metodo Monchi FC prende gosens a 7,2024-09-01,24-25
24,Scambio ufficiale: Cyberducks riceve Cambiaghi (prestito con dr 11); Metodo Monchi FC riceve Dani Silva (prestito con dr 3),2024-08-26,24-25
16,Metodo Monchi FC acquista Cambiaghi per 1 credito,2024-08-17,24-25
17,Metodo Monchi FC acquista beltran per 1 credito,2024-08-17,24-25
289,Metodo Monchi FC riceve 28 crediti per la cessione di Guendouzi al Fenerbahce,2026-01-09,25-26
248,Metodo Monchi FC cede in prestito gratuito Cabal alla squadra Cyberducks ,2025-09-02,25-26
299,"📢 COMUNICAZIONE UFFICIALE: La squadra Sborada acquista il giocatore Malen per 66 crediti.
",2026-01-22,25-26
298,"📢 COMUNICAZIONE UFFICIALE: La squadra CyberDucks acquista il giocatore Raspadori per 19 crediti.
",2026-01-22,25-26
301,"📢 COMUNICAZIONE UFFICIALE:📝La squadra ZeroDayz FC libera lo slot di Posch a causa del suo trasferimento in prestito e recupera 0 crediti. 
",2026-01-22,25-26
310, 📢 COMUNICAZIONE UFFICIALE:  📝La squadra FC Pontos svincola Marì a causa del suo trasferimento/svincolo e recupera 2 crediti.  ,2026-01-24,25-26
305,"📢 PRESTITO UFFICIALE:
👤 Oristanio

🔴 Da: Metodo Monchi FC
🟢 A: FC Sovescio
📅 Scadenza: 30/06/2026 12:00
",2026-01-22,25-26
306,"🆙 COMUNICAZIONE UFFICIALE: La squadra Diaolo Porco promuove in prima squadra il giocatore Norton-Cuffy
",2026-01-23,25-26
308,"📢 COMUNICAZIONE UFFICIALE: 📝La squadra Diaolo Porco svincola Unai Nunez a causa del suo trasferimento/svincolo e recupera 0 crediti. 
",2026-01-24,25-26
309,📢 COMUNICAZIONE UFFICIALE: 📝La squadra FC Pontos libera lo slot di Lang a causa del suo trasferimento in prestito e recupera 2 crediti.  ,2026-01-24,25-26
307,"📢 COMUNICAZIONE UFFICIALE:📝La squadra Diablitos FC svincola Lucca a causa del suo trasferimento/svincolo e recupera 35 crediti. 
",2026-01-23,25-26
300,"📢 COMUNICAZIONE UFFICIALE:📝La squadra Diaolo Porco svincola Dzeko a causa del suo trasferimento/svincolo e recupera 0 crediti. 
",2026-01-22,25-26
